comment	label
"
                 המקרר - מקרר. מרעיש מאד ברחבי המטבח והסלון"	0
"
                  מכונה חד פעמית . קניתי את המכונה מאמיגו קפה שמכינים בבית יותר טעים . אחרי כמה אספרסו וכמה הקצפות המכונה  מוציא אספרסו מגיל ולא מקציפה טוב בכלל "	0
"
                לוקח שעה לאנשי קשר לעלות נשבר לי המסך תוך שבוע מאז שקניתי אותו "	0
"
                מכשיר יפה חיצונית אבל חלש מאוד 800 וואט המכשיר מתאמץ מאוד ומתחמם מאוד לא היינו ממליצים,לאחר כשנה התקלקל החלק הראשי ועוד כמה חלקים,לא היינו ממליצים עליו."	0
"
                עובדות טוב מאוד . רק שהפסיק לעבוד פתאום אחרי חצי שנה . חבל שאין כפתור כמו באיירפודס על הכיסוי כי אז היה אפשר לפרמט . "	0
"
                הקצפה גרועה , הרבה תקלות כל פעם לנקות את פתחי הניקוז"	0
"
                אישתי קנטה לי במתנה את המכונה לפניי 11 חודשים.. בהתחלה מאוד התלהבתי, מכונה יפה, קלה לתפעול אך כעבור חודשיים וחצי מרגע הקניה המכונה הפסיקה להוציא הדים להקצפת חלב.. לאחר בלבולי שכל של NESPRESSO כמו ""תנסה להשרות במים, או לשחק עם הווסת הדים ימינה שמאלה"" החליטו לקחת לתיקון.. תוקנה דיי מהר יש להודות, לאחר כשבוע חזרה מתיקון ועבדה כמו שצריך, בפירוט התיקון רשמו שהחליפו את כל החלק של ווסת הדים בפנים.. אך שמחתי לא הייתה ארוכה. לפני כשבוע שוב התחילה לקררטע בהוצאת הדים. DEJAVU.. היום לקחו לתיקון שוב.. עוד חודש נגמרת האחריות, שאלתי את נציגת שירות מה יש לעשות אם עוד חודש יהיה אותו סיפור, ענתה לי בעדיבות ""אתה יכול לרכוש ביטוח לשנה נוספת תמורת 300 ומשהו שקל.. לעזאזל פעמיים נדפקה לי מכונה שלהם וזה כל מה שיש לה להציע לי?  עדיף לזרוק אותה לפח אם היא תתקלקל שוב.. יצרנית המכונה היא DELONGHI וכנראה במכונות קפה הם לא משהו, בדגם הזה בפרט.. ממליץ לכם להתרחק ממנה, אחר כך אל תגידו שלא הזהירו אתכם."	0
"
                נרכשה טלוויזיה סמסונג  LCD 65”. אחריות יבואן רשמי לשנה והוספת אחריות יבואן סיים ליין לשלש שנים נוספות בתוספת תשלום על סך 199₪. מסתבר שיש בעיה סדרתית למרקע. לאחר פחות משנתיים המסך הפסיק לעבוד. לדברי המשווק הרשמי אין בידיו חלקים לתקן את המרקע (דבר אליו הם מחוייבים כשש שנים עם סיום שנת אחריות ראשונה)  והם מוכנים להחליף את המרקע במרקע שהיה בשימוש 40-100 שעות עבודה. האם לזה התכוון המשווק באומרו אחריות משווק רשמי? אכן כן! רשום זאת באותיות הקטנות.  בשאלה כיצד נוכל לדעת כמה זמן באמת עבד המרקע לא באמת קיבלנו תשובה. את הטיפול סגרו באומרם שהנושא יועבר למחלקה המשפטית. כרגע אני ללא מסך כחמישה ימים. נראה שנגיע לתביעה משפטית. ושוב השאלה האם יבואן רשמי זה משהו חשוב? הרי שלתביעות וסאגות משפטיות ניתן להגיע עם יבואן לא רשמי ואפילו במחיר נמוך יותר ולכן לשיקולכם.... ציטוט מתעודת האחריות ״אנו מתחייבים לתקן ללא תמורה כל קלקול. מוצר שנתגלה בתקופת האחריות, כולל החלפת חלפים שיהיו דרושים לתיקון המוצר בחלפים חדשים ומקוריים. אנו מתחייבים שבמידה ולא נקיים את האמור בסעיף אחד, נספק לצרכן מוצר חדש זהה או מסוג ואיכות דומים ושווי ערך או נשיב לצרכן את התמורה ששילם בעד המוצג לפי בחירתנו״ בפועל שולחים אתכם להילחם על מה שמגיע לכם."	0
"
                מסוכן מאוד מאוד מאוד לאחר 4 חודשים בשימוש מאוד לא אינטסיבי המשטח זכוכית פשוט התנפץ... היבואן לא יכול לקחת על עצמו לקחת אחריות שלא יחזור שנית לדבריו. . וגם לא נותן אפשרות להחליף לדגם שאינו זכוכית אפילו במחיר נמוך יותר מהמוצר המקורי.. בקיצור הם מכירים את התופעה ומחכים שתקופת האחריות תיגמר.. פשוט להתרחק ראו הוזהרתם לא שווה את העוגמת נפש של פיצוץ משטח..אלו שלא קרה להם זו שאלה של זמן."	0
"
                זבל!!!! לא להתקרב.!!!לא מקציף!! המקציף לא מגיע לתחתית הקערה ניסיתי להכין בצק המיקסר עשה רעשים מוזרים התחמם ונשרף.  . בושה שמוכרים דברים כאלה. ."	0
"
                מכונה חדשה הפסיקה לעבוד אחרי חודש.. המוכר מפנה לשירות של ברימג ואצלם יד ימין לא יודעת מה יד שמאל עושה. השירות של ברימג נוראי.. הנציגים הטלפונים מעבירים אותך מאחד לשני, אף אחד לא חוזר אליך, לא שווה את התעסקות, בדיעבד אני מצטער שקניתי. . המכונה יותר זמן מושבתת/בתיקון מאשר היתה בשימוש.  "	0
"
                כיריים גרועות ממש של חברת מדבקה. לא להתקרב. הכיריים פשוט הפסיקו לעבוד אחרי חצי שנה בערך, וגם החלפת המנגנון לא עזרה."	0
"
                הוא נראה טוב. זה כל מה שיש לי לומר טוב עליו. הוא עובד חלש - לוקח לי פי שניים הזמן לחמם דברים מאשר במיקרו הקודם שלי, והוא לא מחמם באופן עקבי. הלמטה רותח הלמעלה עדיין קפוא. מאכזב."	0
"
                מוצר גרוע התנפץ מעצמו וניופאן מתנערים מאחריות פשוט לא לקנות מהם. הכיריים אצלי פחות מחודשיים"	0
"
                תוך 3 חודשים היתה בעיה בלישה,  נשלח למעבדה וחזר עם אותה בעיה."	0
"
                מוצר ירוד באיכותו ,  המבער הטורבו התעוות תוך כדי שימוש  , וכשמבקשים להפעיל אחריות  אין עם מי לדבר ,  מאוכזב מאוד ,2. 3"	0
"
                אחרי שנה עם כיריים שנראו נוחות מאוד. בעודי מטגנת התפוצצה הזכוכית בקול אדיר. היבואן פשוט לא לוקח אחריות ומבקש 700 שקל עבור החלפת זכוכית. פשוט בושה וחרפה לא כדאי להתקרב"	0
"
                שירות גרוע, איכות מוצר גרוע!!. אחרי שנה כירה נשברה, כפתור התפרק"	0
"
                רכשתי את הכיריים וכבר בשימוש ראשון של הכנת חביתה נוצרו כתמים שלא יורדים על הכיפות השחורות.. התקשרתי לשירות והם מתנערים מאחריות ואומרים שעלי לרכוש מהם חומר ניקוי ב 240 שח. לא מוכנים לבוא לבדוק אפילו"	0
"
                המקציף עבד נהדר ביומיים הראשונים, בשלישי כל הפונקציות למעט ההקצפה הבסיסית פסקו מלעבוד ולאחר מספר ימים נוספים הוא גם הפסיק לחמם.. השירות הטלפוני שקיבלנו התנער מכל אחריות וביקשו שנבוא למודיעין או לתחנת השירות הקרובה לצורך בדיקה של המכשיר ( נסיעה של מעל שעה לכל כיוון עבור מוצר ששוויו פחות מ - 200 ש""ח.. השירות עצמו היה מזלזל ונראה שממש הפרענו להם.. מוצר המילטון האחרון שנכנס אלי הביתה ( היו בעבר כמה כישלונות אבל לא כמו המכשיר הנוכחי)"	0
"
                קניתי את המוצר עם הרבה ציפיות ואחרי מחקר מעמיק.. התאכזבתי. "	0
"
                גרוע ביותר. להבות לא מחזיקות , סידור גרוע שבקושי אפשר לשים 4 סירים קטני מאוד או 3 קצת גדולים"	0
"
                לאחר קניית מספר מוצרים של היצרן אכזבה גדולה במיוחד.. אצלנו קצת יותר משנתיים ומערכת הצתה עובדת ללא סוף(תיקון יקר)."	0
"
                מכשיר בן חודש פעם שניה רוצים לקחת למעבדה לא מקציף . קפה קר מוצר מזעזע בדיוק כמו השרות שלהם!!!!!!!!!!!!!!!"	0
"
                זבל של מוצר, נשבר כשבוע לאחר שנקנה, בנוי מפלסטיק זול ולא מושקע - נפילה אחת מגובה של מספר סנטימטרים הספיקה לגרום לשבירה לגמרי של האוזניות"	0
"
                  מכונה חד פעמית . קניתי את המכונה מאמיגו קפה שמכינים בבית יותר טעים . אחרי כמה אספרסו וכמה הקצפות המכונה  מוציא אספרסו מגיל ולא מקציפה טוב בכלל "	0
"
                שואב מצויין, ממפה 5ת הבית וניתן להפעלה באמצעות אפליקציה.. שטיפה עלובה ביותר, רוב הזמן לא עובדת מוציא הודעת שגיאה.. המברשות תוך 3 ימים  של שימוש התעקמו. . יש לי כ 5 שנית איי רובוט רוחבה, אף פעם המברשות לא התעקמו.. לא נכנס מתחת למיטות .. השטיפה לא עובדת טוב כאשר עובדת. ממש מיותר "	0
"
                לא להתקרב. מוצר שמתקלקל מהר. כבר אחרי 3 ימים נשבר חלק קטן של המנורה שמראה הדלקה וכיבוי.. אחרי 3 חודשים כבר הפסיק לעבוד והפך למוצר פגום שאין מה לעשות איתו.. לכן הענקנו את הציון הנמוך ביותר שניתן. אם הייתה אפשרות לדרג את המוצר בדירוג 0, זה הדירוג המתאים-אפילו לא 1."	0
"
                 המכשיר, עם אחריות היבואן הרשמי סאני, הגיע תקול. מיד אחרי ההתקנה החל לעשות ריסטארט כמה פעמים ביום. דברתי עם התמיכה הטכנית והם לא הצליחו למצוא מה התקלה. המכשיר שלח דוח תקלה באופן אוטומטי לסמסונג, ללא תשובות. לאחר שבוע המכשיר נאסף על ידי שליח ומאז הוא ""בטיפול"". אכזבה מרה אחרי 4 מכשירי גסמסונג גלקסי קודמים.."	0
"
                המכונה הזו מעייפת אותי.צריך לעבור איתה הרבה פעמים עד שהעור חלק.לא נוח לגלח איתה באזור הלסת והגרון.. וכמו שכבר נאמר פה המכונה מתקשה להתמודד עם זיפי זקן לבן יש צורך במעבר של המכונה הרבה פעמים על זיפים לבנים עד שהם מגולחים."	0
"
                רכשתי את המיקרוגל לא מזמן והאמת אני מאוכזב!!!. המיקרוגל קטן יחסית מבפנים וצלחת רגילה בקושי נכנסת ונתקעת שהוא מסתובב  ולוקח לו המון זמן לחמם יחסית למיקרוגלים שהיו לי בעבר..  כאדם שהיו לו כמה מיקרוגלים בעבר אני יחסית מתקשה להפעיל אותו ומפריע לי שאין כיתוב בעברית על המקשים"	0
"
                המוצר גרוע ביותר עושה הרבה בעיות ולא עומד בצפיות של מכונת אספרסו בנוסף השירות שלהם גרוע"	0
